task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized
<<<<<<< HEAD
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,41.833333333333336,34.00937901025727
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,51.49523809523809,41.885611693632036
esnli,t5-base,standard,16,42.3132183908046,37.22093686404356
esnli,t5-large,standard,16,84.17145593869732,77.02646758421628
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.3428571428571428,0.2938285149279095
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,26.057142857142857,26.048482693376993
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,55.990476190476194,51.18491345416932
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,66.66666666666667,61.21795266157105
=======
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,41.65170068027211,33.86219465164911
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,51.32591958939264,41.74801617060287
esnli,t5-base,standard,16,42.396551724137936,37.35869759766535
esnli,t5-large,standard,16,84.03506580043312,76.89898683851348
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.37702503681885124,0.32348513638323645
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,22.444444444444443,22.441336581820533
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,55.98376623376623,51.19166113165292
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,66.85485714285714,61.371024732317245
>>>>>>> 62322d6369c8c59d49a92a041f2ebf662346fe8b
