,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,58.857142857142854,47.78118528638567,allenai/unifiedqa-t5-large,ecqa,588,48,unifiedqa_matching
1,0.2857142857142857,0.24365942818777903,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
2,0.0,0.0,allenai/unifiedqa-t5-large,sbic,834,24,unified_qa_what_with_tags
3,0.5714285714285714,0.47726922375815256,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
4,36.57142857142857,29.760549545288086,allenai/unifiedqa-t5-base,ecqa,6290,48,unifiedqa_matching
5,0.2857142857142857,0.2377412830080305,allenai/unifiedqa-t5-large,sbic,2175,24,unified_qa_what_with_tags
6,37.714285714285715,30.628924744469778,allenai/unifiedqa-t5-base,ecqa,8384,48,unifiedqa_matching
7,18.571428571428573,15.553682616778783,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
8,59.71428571428572,48.54873299598694,allenai/unifiedqa-t5-large,ecqa,178,48,unifiedqa_matching
9,0.0,0.0,allenai/unifiedqa-t5-large,sbic,7004,24,unified_qa_what_with_tags
10,40.57142857142857,32.943559357098174,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
11,21.142857142857142,17.689258660588944,allenai/unifiedqa-t5-large,sensemaking,2638,24,unifiedqa_what
12,19.428571428571427,16.265036702156067,allenai/unifiedqa-t5-large,sensemaking,2147,24,unifiedqa_what
13,0.2857142857142857,0.23562821320125035,allenai/unifiedqa-t5-large,sbic,741,24,unified_qa_what_with_tags
14,18.285714285714285,15.317867994308472,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
15,0.0,0.0,allenai/unifiedqa-t5-base,sbic,1331,24,unified_qa_what_with_tags
16,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,7632,24,unifiedqa_what
17,0.0,0.0,allenai/unifiedqa-t5-large,sbic,6290,24,unified_qa_what_with_tags
18,21.714285714285715,18.155156867844717,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
19,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,9933,24,unifiedqa_what
20,56.57142857142857,46.015725936208455,allenai/unifiedqa-t5-large,ecqa,6227,48,unifiedqa_matching
21,42.0,34.108854106494356,allenai/unifiedqa-t5-base,ecqa,4199,48,unifiedqa_matching
22,0.2857142857142857,0.23835062980651855,allenai/unifiedqa-t5-base,sbic,9428,24,unified_qa_what_with_tags
23,41.714285714285715,33.890290124075754,allenai/unifiedqa-t5-base,ecqa,9428,48,unifiedqa_matching
24,0.0,0.0,allenai/unifiedqa-t5-base,sbic,8219,24,unified_qa_what_with_tags
25,0.5714285714285714,0.47726922375815256,allenai/unifiedqa-t5-large,sbic,6339,24,unified_qa_what_with_tags
26,60.285714285714285,48.9772812468665,allenai/unifiedqa-t5-large,ecqa,7056,48,unifiedqa_matching
27,0.5714285714285714,0.4803516183580671,allenai/unifiedqa-t5-base,sbic,7356,24,unified_qa_what_with_tags
28,0.0,0.0,allenai/unifiedqa-t5-large,sbic,8483,24,unified_qa_what_with_tags
29,18.857142857142858,15.756637573242188,allenai/unifiedqa-t5-large,sensemaking,6595,24,unifiedqa_what
