task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized,seed
<<<<<<< HEAD
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,54.67619047619048,51.16543371308418,4633.966666666666
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,61.804761904761904,58.91053489900771,4633.966666666666
=======
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,18.933333333333334,15.693096869332448,4633.966666666666
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,46.6,41.220409087056204,4633.966666666666
esnli,t5-base,standard,16,75.30172413793103,68.87865675449143,4633.966666666666
esnli,t5-large,standard,16,84.50224040522112,77.43015429014099,4675.4152542372885
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,55.11564625850341,51.63355659465401,4601.142857142857
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,60.14965986394558,57.20620861345407,4601.142857142857
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.582857142857144,51.78393711737224,4742.82
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,70.16326530612245,64.52246739669722,4710.244897959184
>>>>>>> 5a03f09cede683975aa5bddf66997344fd8df517
