,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized,seed,seed
,,,,mean,std,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,,,
<<<<<<< HEAD
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,54.67619047619048,2.2100368862416646,51.16543371308418,2.260149205336896,4633.966666666666,2928.4209907198942
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,61.804761904761904,2.7432002100266484,58.91053489900771,2.8564225246522157,4633.966666666666,2928.4209907198947
=======
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,18.933333333333334,3.6711290100753446,15.693096869332448,3.0372441936637804,4633.966666666666,2928.4209907198947
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,46.6,4.020593248269117,41.220409087056204,3.652909811544859,4633.966666666666,2928.4209907198942
esnli,t5-base,standard,16,75.30172413793103,2.97309660264185,68.87865675449143,2.7316132127465043,4633.966666666666,2928.4209907198942
esnli,t5-large,standard,16,84.50224040522112,1.9524354425119261,77.43015429014099,1.7910780877178252,4675.4152542372885,2923.9374176748674
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,55.11564625850341,2.85156566123735,51.63355659465401,2.9372579276716864,4601.142857142857,2868.813149083387
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,60.14965986394558,2.5579678639033525,57.20620861345407,2.6593959734738735,4601.142857142857,2868.813149083387
<<<<<<< HEAD
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.40749414519907,3.233506007584723,51.61991475784249,2.948948413159208,4661.918032786885,2912.3773472806556
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,69.66190476190475,3.4701807150365145,64.05853000141325,3.1924795423907004,4633.966666666666,2928.4209907198947
=======
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.582857142857144,3.133992693686702,51.78393711737224,2.847010315933007,4742.82,2863.582970266446
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,70.16326530612245,3.2881851528363795,64.52246739669722,3.0175345238994313,4710.244897959184,2883.4700787639586
>>>>>>> 5a03f09cede683975aa5bddf66997344fd8df517
>>>>>>> f55370ef970d51f14e0952a5ea8520e508183982
