,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized
,,,,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.61904761904761,2.2672868299271265,33.02737963256382,1.8429667094763567
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,59.423809523809524,2.271079138540694,48.31367016179221,1.8451277016277254
esnli,t5-base,standard,16,72.88314176245211,2.2424637976292003,60.70232895056635,1.8736286241508142
esnli,t5-large,standard,16,86.64750957854406,1.7709689270374824,72.17959809805697,1.4728050833303479
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.4380952380952381,0.29261507610928034,0.3668258051077525,0.24404545271308908
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.2,0.2106032798809141,0.16792654934383575,0.1766969257650729
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,0.0,0.0,0.0,0.0
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,19.652380952380952,1.4920119883039245,16.441438223634446,1.2459587519905526
