,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized
,,,,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,
<<<<<<< HEAD
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.88095238095238,2.320152274305227,33.23802105443818,1.8875363630069133
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,57.1,2.2356572334117137,46.42931511146682,1.8199937309594272
esnli,t5-base,standard,16,77.96455938697318,2.3194074096169666,64.93526829128292,1.94125508366349
esnli,t5-large,standard,16,50.18199233716475,6.827352114446959,41.857450151409225,5.6827588321491
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.6047619047619047,0.3654897624283193,0.5073729903925033,0.30618674372963345
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.19523809523809524,0.24739000395924837,0.16224552336193268,0.20592698071614643
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,20.004761904761903,3.4901188669177756,16.75822758589472,2.9277114863497653
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,48.67619047619048,0.9257711132861144,40.82954550300326,0.7949506650391645
=======
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.945454545454545,2.32299002975919,33.29133561586405,1.8914878745849928
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,57.142857142857146,2.2815980251890755,46.46175935639964,1.856317690695557
esnli,t5-base,standard,16,78.09776430466086,2.14649306920176,65.04412633448639,1.7958290038521059
esnli,t5-large,standard,16,51.28060969515242,6.804764244253875,42.77722150454735,5.667807857532169
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.6043956043956045,0.3638009968625681,0.5076922148793608,0.3054785682653246
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.2564102564102564,0.24886868500312137,0.21330015388600557,0.20776239659253445
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,20.647160068846816,3.7805773187754714,17.297659229083234,3.1708700173846878
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,48.622767857142854,0.800536804713894,40.77418065417026,0.6925627766794062
>>>>>>> 62322d6369c8c59d49a92a041f2ebf662346fe8b
