,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized,seed,seed
,,,,mean,std,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.647619047619045,2.2623007172229324,33.05069566312291,1.8389691265427581,4633.966666666666,2928.4209907198947
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,59.44285714285714,2.327256420977197,48.32899847115789,1.890686141866448,4633.966666666666,2928.4209907198942
esnli,t5-base,standard,16,72.8544061302682,2.3134513974808386,60.678366181437084,1.9321946136338926,4633.966666666666,2928.4209907198947
esnli,t5-large,standard,16,86.67624521072797,1.7891376798608838,72.20316391281241,1.487812154884654,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.43333333333333335,0.2880460406635545,0.36283721838678634,0.24027180738759588,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.2,0.2106032798809141,0.16792654934383575,0.1764310618067487,4633.966666666666,2928.4209907198942
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,0.0,0.0,0.0,0.0,4633.966666666666,2928.4209907198947
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,19.619047619047617,1.5106575282970172,16.413734570571354,1.2620489518307794,4633.966666666666,2928.4209907198947
